Date,Temperature,Wind Speed
2014-04-11,57.9,18.3
2014-04-12,57.9,19.68
2014-04-13,72.0,18.3
2014-04-14,72.0,17.26
2014-04-15,59.0,13.81
2014-04-16,55.0,17.26
2014-04-17,55.0,19.68
2014-04-18,57.0,19.68
2014-04-19,57.0,20.83
2014-04-20,57.9,16.11
2014-04-21,57.9,11.39
2014-04-22,57.0,20.83
2014-04-23,55.0,20.83
2014-04-24,55.9,27.73
2014-04-25,55.9,13.81
2014-04-26,57.0,20.83
2014-04-27,57.0,21.86
2014-04-28,61.0,18.3
2014-04-29,78.1,14.96
2014-04-30,84.0,18.3
2014-05-01,84.0,18.3
2014-05-02,81.0,19.68
2014-05-03,59.0,20.83
2014-05-04,57.9,23.02
2014-05-05,57.9,18.3
2014-05-06,57.9,13.81
2014-05-07,57.9,11.39
2014-05-08,57.9,17.26
2014-05-09,55.0,19.68
2014-05-10,59.0,11.39
2014-05-11,63.0,16.11
2014-05-12,78.1,14.96
2014-05-13,80.1,14.96
2014-05-14,87.1,14.96
2014-05-15,87.1,23.02
2014-05-16,71.1,24.17
2014-05-17,63.0,14.96
2014-05-18,63.0,19.68
2014-05-19,64.9,14.96
2014-05-20,64.9,19.68
2014-05-21,64.0,14.96
2014-05-22,71.1,14.96
2014-05-23,71.1,16.11
2014-05-24,63.0,11.39
2014-05-25,63.0,13.81
2014-05-26,63.0,13.81
2014-05-27,63.0,12.77
2014-05-28,63.0,16.11
2014-05-29,63.0,12.77
2014-05-30,64.9,20.83
2014-05-31,64.9,19.68
2014-06-01,64.9,12.77
2014-06-02,64.9,12.77
2014-06-03,62.1,11.39
2014-06-04,62.1,14.96
2014-06-05,63.0,17.26
2014-06-06,64.9,18.3
2014-06-07,64.9,19.68
2014-06-08,66.0,16.11
2014-06-09,66.0,18.3
2014-06-10,64.9,18.3
2014-06-11,68.0,14.96
2014-06-12,68.0,16.11
2014-06-13,62.1,17.26
2014-06-14,64.4,12.77
2014-06-15,64.0,16.11
2014-06-16,61.0,16.11
2014-06-17,62.1,13.81
2014-06-18,64.0,12.77
2014-06-19,66.9,16.11
2014-06-20,66.9,17.26
2014-06-21,68.0,13.81
2014-06-22,70.0,17.26
2014-06-23,70.0,19.68
2014-06-24,66.0,12.77
2014-06-25,70.0,11.39
2014-06-26,64.0,14.96
2014-06-27,64.9,16.11
2014-06-28,64.9,19.68
2014-06-29,66.9,14.96
2014-06-30,75.0,20.83
2014-07-01,89.1,20.83
2014-07-02,89.1,13.81
2014-07-03,68.0,12.77
2014-07-04,68.0,16.11
2014-07-05,70.0,13.81
2014-07-06,72.0,11.39
2014-07-07,72.0,19.68
2014-07-08,72.0,21.86
2014-07-09,69.1,19.68
2014-07-10,68.0,13.81
2014-07-11,68.0,12.77
2014-07-12,66.2,10.24
2014-07-13,66.0,10.24
2014-07-14,63.0,13.81
2014-07-15,66.9,12.77
2014-07-16,68.0,11.39
2014-07-17,66.9,12.77
2014-07-18,66.9,14.96
2014-07-19,69.1,16.11
2014-07-20,69.1,12.77
2014-07-21,69.1,14.96
2014-07-22,71.1,14.96
2014-07-23,71.1,17.26
2014-07-24,64.9,17.26
2014-07-25,68.0,13.81
2014-07-26,70.0,21.86
2014-07-27,73.0,19.68
2014-07-28,73.0,21.86
2014-07-29,72.0,19.68
2014-07-30,72.0,20.83
2014-07-31,73.9,23.02
2014-08-01,73.9,20.83
2014-08-02,73.9,14.96
2014-08-03,73.9,9.21
2014-08-04,73.9,19.68
2014-08-05,70.0,19.68
2014-08-06,71.1,14.96
2014-08-07,71.1,17.26
2014-08-08,69.1,17.26
2014-08-09,71.1,23.02
2014-08-10,78.1,20.83
2014-08-11,78.1,16.11
2014-08-12,78.1,14.96
2014-08-13,64.0,12.77
2014-08-14,69.1,11.39
2014-08-15,69.1,8.06
2014-08-16,72.0,16.11
2014-08-17,72.0,19.68
2014-08-18,73.9,19.68
2014-08-19,73.9,16.11
2014-08-20,68.0,12.77
2014-08-21,71.1,10.24
2014-08-22,71.1,13.81
2014-08-23,77.0,12.77
2014-08-24,77.0,13.81
2014-08-25,79.0,14.96
